sample	mean	std	25%	50%	75%	max	Zeros	ID
SRR3383821	481.754	2645.055	0.0	61.0	351.0	148426.0	7360.0	healthy24
SRR3383783	452.522	3224.05	0.0	51.0	303.0	315702.0	7627.0	healthy18.1
SRR3383822	319.347	2041.024	0.0	40.0	224.0	113771.0	7702.0	healthy24.1
SRR3383640	347.664	1860.469	0.0	52.0	281.0	153437.0	7396.0	healthy12
SRR3383641	716.353	3764.293	0.0	105.0	586.0	315017.0	7039.0	healthy12.1
SRR6283145	632.651	2953.752	0.0	72.0	481.0	141108.0	7688.0	Healthy30.1
SRR3383782	954.274	7136.475	1.0	106.0	607.0	660692.0	6888.0	healthy18
SRR6283144	706.541	4073.443	0.0	63.0	469.0	274644.0	7700.0	healthy30
