ID,count,mean,std,min,25%,50%,75%,max
Bc12,20903.0,3.3619321053296773,2.1902832679848006,0.0,1.5428252050575149,3.497937943463981,4.896691120622718,9.721363882635844
Ch40.2,20903.0,3.296468440999465,2.1963857999536063,0.0,1.4273295249757125,3.3048099372017323,4.869174657852517,9.702929221158994
Ch22.2,20903.0,3.6000967689095678,2.167458282730928,0.0,1.8957768631444172,3.8248065456250204,5.1649735737728415,9.697486816321275
Ch22.1,20903.0,3.544178829962579,2.1662015281993243,0.0,1.776380657612553,3.746790116751197,5.111295462141052,9.566676706542092
Ch22,20903.0,3.5428005850724404,2.16886177055628,0.0,1.7899668018018606,3.7394753113981376,5.115472579984134,9.59509056936484
Ch22.3,20903.0,3.602442603191523,2.1671033298741023,0.0,1.8748235548130163,3.831501803193974,5.161495503535287,9.682600482637866
Bc12.1,20903.0,3.3228099193461618,2.1849676516263057,0.0,1.4722034871721752,3.4451137562922205,4.848427084449322,9.723853272048958
Bc24.1,20903.0,3.5237282293964474,2.089757951019586,0.0,1.884189458011502,3.621980151592103,5.013843719768126,9.565314873587614
Bc18.1,20903.0,3.3049481976299337,2.1737698808779427,0.0,1.4240966619474664,3.442394061603385,4.8517406759926525,9.665417527299828
Ch40.3,20903.0,3.296510010231097,2.1960294471519735,0.0,1.4167365208760239,3.3106951220892653,4.858407319163597,9.684992672667171
Ch40.1,20903.0,3.428301085181975,2.1693091765414634,0.0,1.6360796010753837,3.5039497423604016,4.981200398516121,9.684518004642882
Bc18,20903.0,3.325766232701402,2.2036606309083613,0.0,1.38114536976633,3.4907051502441644,4.915540207734633,9.684668475092025
Bc24,20903.0,3.5647713453394054,2.077538248752256,0.0,1.9710084381916597,3.687697228389876,5.0455004498362905,9.687168620443648
Ch40,20903.0,3.431440299273627,2.166365994818669,0.0,1.6365046956493443,3.5116863746490887,4.985199010382163,9.674012104714462
healthy30.1,20903.0,3.2314926329889073,2.2209704762794997,0.0,1.2119246703783608,3.368080192116648,4.862775405698544,9.270294713588118
healthy30,20903.0,3.0909522569597083,2.2109206730142965,0.0,1.0385020615750546,3.137852474118444,4.710203942204605,9.27653505921735
healthy12,20903.0,3.4197988020829504,2.118597716270315,0.0,1.6947977565524046,3.5874760918962294,4.944025111877003,9.234454590397936
healthy18.1,20903.0,3.1639331733055984,2.1165932881527114,0.0,1.3107172190740684,3.2554344177288903,4.679393099636812,9.23763135234334
healthy18,20903.0,3.1272451606751264,2.0861873623416214,0.0,1.320920033615965,3.1778464786123584,4.606501969485974,9.267640405526038
healthy24.1,20903.0,3.176957872202112,2.0734554318936036,0.0,1.4048162693832897,3.308723668853421,4.662729259757219,9.192001268070204
healthy12.1,20903.0,3.4080346539576074,2.1571489873414587,0.0,1.582102059107842,3.5994155703669724,4.9787100063260095,9.22054036856794
healthy24,20903.0,3.252405686355926,2.105277906396554,0.0,1.4473271664280336,3.377430039297061,4.782075789401704,9.26502373805102
