sample,count,mean,std,min,25%,50%,75%,max,ID
SRR3383640,27655.0,4.919338996809231,3.791072442387742,0.0,0.0,5.7279204545632,8.139551352398794,17.227296295103052,healthy12
SRR3383641,27655.0,5.6200377131937085,4.2069014702594725,0.0,0.0,6.7279204545632,9.197216693110052,18.265074740410657,healthy12
SRR3383782,27655.0,5.701391209902577,4.242752919097511,0.0,1.0,6.7414669864011465,9.247927513443585,19.33362053397145,healthy18
SRR3383783,27655.0,4.941991419748094,3.8915038468000707,0.0,0.0,5.7004397181410935,8.247927513443585,18.26820844450981,healthy18
SRR3383821,27655.0,5.118317463224261,3.943576312846421,0.0,0.0,5.954196310386875,8.459431618637296,17.17939402746687,healthy24
SRR3383822,27655.0,4.671514512940085,3.705816778099094,0.0,0.0,5.357552004618084,7.813781191217037,16.795786019502007,healthy24
SRR6283145,27655.0,5.307407306326486,4.182176471984372,0.0,0.0,6.189824558880018,8.912889336229961,17.106450481091255,healthy30
SRR6283144,27655.0,5.269930743616318,4.197586969773496,0.0,0.0,6.0,8.876516946565,18.067208501808,healthy30
