Counts	27655.0	707.5412041222202	4073.4434326360984	1.0	1.0	64.0	470.0	274645.0	0.0	SRR6283144
log2_value	27655.0	5.269930743616318	4.197586969773496	0.0	0.0	6.0	8.876516946565	18.067208501807997	7700.0	SRR6283144
Counts	27655.0	633.6507322364853	2953.7515375596795	1.0	1.0	73.0	482.0	141109.0	0.0	SRR6283145
log2_value	27655.0	5.307407306326486	4.182176471984372	0.0	0.0	6.189824558880018	8.912889336229961	17.106450481091255	7688.0	SRR6283145
Counts	27655.0	717.3532815042488	3764.29342521545	1.0	1.0	106.0	587.0	315018.0	0.0	SRR3383641
log2_value	27655.0	5.6200377131937085	4.2069014702594725	0.0	0.0	6.727920454563199	9.197216693110052	18.265074740410657	7039.0	SRR3383641
Counts	27655.0	348.664328331224	1860.4692499293658	1.0	1.0	53.0	282.0	153438.0	0.0	SRR3383640
log2_value	27655.0	4.919338996809231	3.791072442387742	0.0	0.0	5.727920454563199	8.139551352398794	17.227296295103052	7396.0	SRR3383640
Counts	27655.0	320.34670041583803	2041.0240612378823	1.0	1.0	41.0	225.0	113772.0	0.0	SRR3383822
log2_value	27655.0	4.671514512940085	3.705816778099094	0.0	0.0	5.357552004618084	7.813781191217037	16.795786019502003	7702.0	SRR3383822
Counts	27655.0	482.7541493400832	2645.055346295502	1.0	1.0	62.0	352.0	148427.0	0.0	SRR3383821
log2_value	27655.0	5.118317463224261	3.943576312846421	0.0	0.0	5.954196310386875	8.459431618637296	17.17939402746687	7360.0	SRR3383821
Counts	27655.0	453.5218224552522	3224.049552321334	1.0	1.0	52.0	304.0	315703.0	0.0	SRR3383783
log2_value	27655.0	4.941991419748094	3.8915038468000707	0.0	0.0	5.700439718141092	8.247927513443585	18.268208444509813	7627.0	SRR3383783
Counts	27655.0	955.2743807629723	7136.475185768917	1.0	2.0	107.0	608.0	660693.0	0.0	SRR3383782
log2_value	27655.0	5.701391209902577	4.242752919097512	0.0	1.0	6.7414669864011465	9.247927513443585	19.333620533971455	6888.0	SRR3383782
