,count,mean,std,min,25%,50%,75%,max
healthy30.1,19766.0,3.412618449980633,2.138714711708788,0.0,1.649540778381398,3.533781777389332,4.949313548159346,9.22540839685868
healthy30,19766.0,3.264057352033374,2.1400588005224512,0.0,1.4204522772063524,3.3235622213316733,4.803090825046191,9.223372847609527
healthy12,19766.0,3.611866456104539,2.0077152864226795,0.0,2.0822934457095332,3.7388543626983073,5.0237518958165035,9.142337928755124
healthy18.1,19766.0,3.3414246949268738,2.0305247109693734,0.0,1.715086570561382,3.408652879926868,4.766749203978973,9.193131542961298
healthy18,19766.0,3.302593979226057,2.000343925179117,0.0,1.7085883311618657,3.3304849710998763,4.690741125113495,9.217685546872747
healthy24.1,19766.0,3.3550462242154233,1.9816835833194526,0.0,1.818978394735847,3.4547543272995225,4.743245073585755,9.192001268070204
healthy12.1,19766.0,3.5994364381610513,2.051721738209893,0.0,2.0276676402132434,3.753545460659136,5.064997488224633,9.22054036856794
healthy24,19766.0,3.434852972149908,2.0095331782155283,0.0,1.8536881915888923,3.531757361196248,4.86300941757757,9.126949598658168
