ID,count,mean,std,min,25%,50%,75%,max
Bc12,20274.0,3.466235907946446,2.1411739800989356,0.0,1.7773202448757188,3.582357821054659,4.944588880377087,9.721363882635844
Ch40.2,20274.0,3.3987412361749927,2.150853291421305,0.0,1.6389645810410554,3.387894093801811,4.918630857155593,9.702929221158994
Ch22.2,20274.0,3.7117896202287013,2.104526827652125,0.0,2.121664077032691,3.910943365653636,5.2057776323055,9.697486816321277
Ch22.1,20274.0,3.6541368295702767,2.106228207278335,0.0,2.022833695279958,3.8364993850678317,5.1540838598061445,9.566676706542093
Ch22,20274.0,3.652715824690205,2.109123003492742,0.0,2.007359910466265,3.828702302227181,5.156701603250747,9.595090569364839
Ch22.3,20274.0,3.714208233920904,2.104021478171408,0.0,2.126383585254,3.9187295723068267,5.204195574212964,9.682600482637866
Bc12.1,20274.0,3.425899957783014,2.137524996369851,0.0,1.721186074267791,3.5445468331939867,4.898825262413443,9.723853272048956
Bc24.1,20274.0,3.6330517499789843,2.0261752414441188,0.0,2.0834175904713987,3.7125715582990946,5.0633381338838,9.565314873587614
Bc18.1,20274.0,3.4074840768994035,2.1266117629593446,0.0,1.657880047187382,3.536537087130016,4.89548490978127,9.665417527299827
Ch40.3,20274.0,3.398784095090294,2.150476063678441,0.0,1.629825029375147,3.3987976037057503,4.921114521971819,9.684992672667171
Ch40.1,20274.0,3.5346639826161,2.11564039464267,0.0,1.8647184221964874,3.5977717054075544,5.030395563200502,9.684518004642884
Bc18,20274.0,3.428947990636155,2.1570735265926584,0.0,1.6272564050345828,3.5752724441419685,4.961759795342692,9.684668475092026
Bc24,20274.0,3.675368226873315,2.010864567543395,0.0,2.167764020466983,3.7690182597053994,5.089147210591588,9.687168620443648
Ch40,20274.0,3.537900590693333,2.1123656930574293,0.0,1.8590154166851356,3.5960801568630614,5.031413177083789,9.674012104714464
