ID,count,mean,std,min,25%,50%,75%,max
healthy12,22426,44.5910996165163,285.706293445921,0,1.48195521383645,10.1990287760719,29.6272933910288,24767.5389081204
healthy12.1,22426,44.5910996165169,274.744175066563,0,1.24813870671458,10.1851039161038,30.4020915131335,23438.8561437666
healthy18,22426,44.5910996165164,391.116884379406,0,0.996768401474124,7.39303009168905,23.2166889046932,36543.7689597557
healthy18.1,22426,44.5910996165167,353.709966983897,0,0.941955007370822,7.83904581360782,24.4944053586712,29718.5096667859
healthy24,22426,44.5910996165164,312.984234900097,0,1.10080113772546,8.6375984872938,26.3784897033628,17294.5323734636
healthy24.1,22426,44.5910996165168,362.054649665844,0,1.0640941486118,8.18504451459975,24.2130118667333,23032.3229948684
healthy30,22426,44.5910996165169,337.073705020584,0,0.653991989434054,7.104007043746,25.0086220208462,22193.965119001
healthy30.1,22426,44.5910996165165,287.303594096615,0,0.79673454699143,8.52519393480318,27.8806540018239,14902.6844629115
,,,,,,,,36543.7689597557
,,,,,,,,14902.6844629115
