,count,mean,std,min,25%,50%,75%,max
healthy30.1,19766.0,28.778991163807895,54.144105503187546,0.0,2.1373382669643366,10.58175339666029,29.89525868960942,597.5833737435985
healthy30,19766.0,26.883388905807312,53.360955212151765,0.0,1.676694109438796,9.011333427396197,26.917364231848737,596.7394069089935
healthy12,19766.0,29.15972753373225,50.866255935061275,0.0,3.2347988601801996,12.350800709668338,31.531194620773054,564.0904229963872
healthy18.1,19766.0,25.881174532560365,50.600295663445685,0.0,2.2831634430287373,9.619565835822804,26.222906556943002,584.340195817681
healthy18,19766.0,25.105889946447554,50.47491747613842,0.0,2.2684085501854443,9.059488028264497,24.825799883973634,594.3876750625644
healthy24.1,19766.0,24.359513902881908,44.27447941690619,0.0,2.52831262719142,9.96439559355316,25.78298921104303,583.8817924735123
healthy12.1,19766.0,29.795110195842682,52.47598857065732,0.0,3.0774512865582766,12.487447732362066,32.47465988975341,595.5670015534997
healthy24,19766.0,26.306104812893484,47.768283623216334,0.0,2.6142296866805657,10.565513155100895,28.101254086870377,558.0949867908438
