,count,mean,std,min,25%,50%,75%,max
healthy30.1,19792.0,28.96289665393578,55.00620132390122,0.0,2.119185014309628,10.578589031646667,29.93105284372673,616.4997376744698
healthy30,19792.0,27.06662131077814,54.24016131296518,0.0,1.6709789498199843,9.00557352000028,26.93159419472575,619.1765041653704
healthy12,19792.0,29.325525259492345,51.64480902451408,0.0,3.221320787759843,12.34837122064939,31.562194897736372,601.3484890854136
healthy18.1,19792.0,26.0236472999834,51.214269133633266,0.0,2.2665940488232272,9.61897831700485,26.23556206535533,602.6762998833273
healthy18,19792.0,25.259470498581212,51.2165483813064,0.0,2.263913118403513,9.057731589389954,24.84980230589855,615.3646899751378
healthy24.1,19792.0,24.501403322232434,44.926457571016044,0.0,2.521251536435438,9.959466215784044,25.795872532827214,583.8817924735123
healthy12.1,19792.0,29.96570837923219,53.220150621230445,0.0,3.067939112865976,12.481035652405112,32.50587369141387,595.5670015534997
healthy24,19792.0,26.459053844136157,48.511827029622204,0.0,2.600231258879731,10.559828056894908,28.129038469495416,614.2477805387645
