ID,count,mean,std,min,25%,50%,75%,max
Ss30.1,24239.0,41.25582738561805,369.4588884336524,0.0,0.0,0.9209554901440873,8.625988458436304,30046.794172320107
Bc12,24239.0,41.25582738561835,258.97734360441757,0.0,0.4622088320140171,7.803418630179323,25.862341718894598,21314.028193373808
Ch40.2,24239.0,41.255827385618126,210.34365793669102,0.0,0.5329414758180981,6.667055389291717,25.597003358980356,10852.45864000363
Ch22.2,24239.0,41.25582738561803,230.02987815704847,0.0,0.692512815396198,10.172517432513658,32.23795216628433,21455.952013060552
Ch22.1,24239.0,41.255827385618204,230.7323744116428,0.0,0.6612236037103632,9.674233513472094,30.750516979029435,18793.409040441464
Ch22,24239.0,41.2558273856182,231.03106529532732,0.0,0.6673405401733064,9.622338374415042,31.042510259561883,18983.608281416622
Ss30.2,24239.0,41.255827385617934,319.95424686435166,0.0,0.0,1.4424998245124983,11.428467116780444,23508.033722423515
Ch22.3,24239.0,41.25582738561812,229.51259753456938,0.0,0.7037387627957796,10.265209461926887,32.18744225616125,21435.8982728207
Bc12.1,24239.0,41.25582738561808,275.5288952502269,0.0,0.4275997641171449,7.481378626346114,25.016655705648212,23373.500793791252
Bc24.1,24239.0,41.255827385618005,231.17353879207027,0.0,1.142664511996414,8.871364144907007,28.964957333924062,20741.99995601097
Bc18.1,24239.0,41.255827385618225,253.64621060733464,0.0,0.4492909605906198,7.476861691389035,25.485440673615297,18660.458453776522
Ch40.3,24239.0,41.2558273856182,210.73978121040787,0.0,0.5368750314495025,6.6888538489903375,25.64681774063928,10902.914192737599
Ch40.1,24239.0,41.25582738561823,201.01588014761393,0.0,0.6712870043753283,7.903432962564806,27.98133825401426,10959.749925806891
Bc18,24239.0,41.25582738561835,237.58295912602543,0.0,0.39337010725821614,7.722922869506455,26.706668716331464,13089.181279004611
Bc24,24239.0,41.25582738561824,227.82776337024967,0.0,1.2482135871803592,9.228870063272845,29.555928679386255,18666.460853545937
Ss30,24239.0,41.2558273856182,357.87907346869395,0.0,0.0,0.9674056329324062,9.124907718677125,28819.22186840023
