	Counts	log2_value
count	27655.0	27655.0
mean	400.4826613632255	5.009321182175393
std	2197.554509464289	3.8832341111492523
min	1.0	0.0
25%	1.0	0.0
50%	58.0	5.857980995127572
75%	316.0	8.303780748177102
max	196584.0	17.584786379736883
Zeros	0.0	7518.0
sample	SRR3383696	SRR3383696
