	Counts	log2_value
count	27655.0	27655.0
mean	297.1967817754475	4.817807281308823
std	1212.2919290194102	3.6928738832030867
min	1.0	0.0
25%	1.0	0.0
50%	44.0	5.459431618637297
75%	239.0	7.900866807980749
max	73959.0	16.174438097736743
Zeros	0.0	7011.0
sample	SRR364401	SRR364401
