	Counts	log2_value
count	27655.0	27655.0
mean	297.0070511661544	4.814032575163637
std	1212.2963499655368	3.6948319831634806
min	1.0	0.0
25%	1.0	0.0
50%	44.0	5.459431618637297
75%	237.5	7.8917805061031014
max	73678.0	16.168946279344013
Zeros	0.0	7053.0
sample	SRR364400	SRR364400
