	Counts	log2_value
count	27655.0	27655.0
mean	495.3064183691918	5.183563929907964
std	2870.369601222916	3.985064887029906
min	1.0	0.0
25%	1.0	0.0
50%	69.0	6.108524456778169
75%	376.0	8.554588851677638
max	257239.0	17.972749860653227
Zeros	0.0	7375.0
sample	SRR3383697	SRR3383697
