	Counts	log2_value
count	27655.0	27655.0
mean	330.28794069788466	4.978140600059208
std	1504.5445963960638	3.7955198257345724
min	1.0	0.0
25%	1.0	0.0
50%	56.0	5.807354922057604
75%	291.5	8.18734995089415
max	151389.0	17.207900856629784
Zeros	0.0	7164.0
sample	SRR364389	SRR364389
