	Counts	log2_value
count	27655.0	27655.0
mean	317.0595913939613	4.75029461089433
std	1399.119762356361	3.709542434517706
min	1.0	0.0
25%	1.0	0.0
50%	39.0	5.285402218862249
75%	231.5	7.8548650182718145
max	71328.0	16.122180901259753
Zeros	0.0	7090.0
sample	SRR364399	SRR364399
