	Counts	log2_value
count	27655.0	27655.0
mean	325.25875971795335	5.002743681828572
std	1348.8402693920711	3.7997511862574758
min	1.0	0.0
25%	1.0	0.0
50%	59.0	5.882643049361842
75%	297.0	8.214319120800766
max	110047.0	16.747760290778356
Zeros	0.0	7219.0
sample	SRR364392	SRR364392
