	Counts	log2_value
count	27655.0	27655.0
mean	325.6518531911047	4.96057404796627
std	1484.6011426997072	3.7914777994860214
min	1.0	0.0
25%	1.0	0.0
50%	55.0	5.78135971352466
75%	287.5	8.167415964059
max	149421.0	17.189023396772658
Zeros	0.0	7229.0
sample	SRR364390	SRR364390
