	Counts	log2_value
count	27655.0	27655.0
mean	417.244946664256	5.013277490013133
std	1962.7059462937416	3.933416521374838
min	1.0	0.0
25%	1.0	0.0
50%	56.0	5.807354922057604
75%	336.0	8.39231742277876
max	165686.0	17.338092178481546
Zeros	0.0	7549.0
sample	SRR3383780	SRR3383780
