	Counts	log2_value
count	27655.0	27655.0
mean	313.4386548544567	4.723590676826614
std	1682.5566351863472	3.7481006476496654
min	1.0	0.0
25%	1.0	0.0
50%	43.0	5.426264754702098
75%	239.0	7.900866807980749
max	162223.0	17.30761885400159
Zeros	0.0	7719.0
sample	SRR3383779	SRR3383779
