	Counts	log2_value
count	27655.0	27655.0
mean	316.55454709817394	4.748695734472369
std	1396.939527121289	3.7099003586476047
min	1.0	0.0
25%	1.0	0.0
50%	39.0	5.285402218862249
75%	230.0	7.845490050944375
max	71579.0	16.12724876816099
Zeros	0.0	7117.0
sample	SRR364398	SRR364398
