	Counts	log2_value
count	27655.0	27655.0
mean	654.3140119327427	5.807581742515993
std	2662.125851662074	3.984069684187342
min	1.0	0.0
25%	3.0	1.584962500721156
50%	104.0	6.700439718141092
75%	534.0	9.060695931687555
max	199490.0	17.605956903531055
Zeros	0.0	5703.0
sample	SRR10586399	SRR10586399
