	Counts	log2_value
count	27655.0	27655.0
mean	221.0205026215874	3.122717909444594
std	1785.1768137323313	3.3710681453069475
min	1.0	0.0
25%	1.0	0.0
50%	4.0	2.0
75%	51.0	5.672425341971495
max	113795.0	16.79607764338467
Zeros	0.0	10600.0
sample	SRR6283147	SRR6283147
