	Counts	log2_value
count	27655.0	27655.0
mean	329.418296872175	5.014577062192591
std	1368.634674184449	3.805382319059212
min	1.0	0.0
25%	1.0	0.0
50%	60.0	5.906890595608519
75%	300.0	8.228818690495881
max	111912.0	16.77200521506105
Zeros	0.0	7185.0
sample	SRR364391	SRR364391
