	Counts	log2_value
count	27655.0	27655.0
mean	198.2109202675827	3.061983132419056
std	1592.9854152909852	3.3298933121980028
min	1.0	0.0
25%	1.0	0.0
50%	4.0	2.0
75%	48.0	5.584962500721156
max	103933.0	16.665294274755347
Zeros	0.0	10866.0
sample	SRR6283148	SRR6283148
