	Counts	log2_value
count	27655.0	27655.0
mean	261.05659012836736	3.522137526964945
std	1865.0059964800778	3.5097878902634854
min	1.0	0.0
25%	1.0	0.0
50%	7.0	2.807354922057604
75%	81.0	6.339850002884624
max	114585.0	16.806058671742843
Zeros	0.0	9657.0
sample	SRR6283146	SRR6283146
