	Counts	log2_value
count	27655.0	27655.0
mean	663.2397034894233	5.861618395852457
std	2641.5396867244494	3.9899938434907187
min	1.0	0.0
25%	3.0	1.584962500721156
50%	111.0	6.794415866350106
75%	552.0	9.108524456778168
max	180983.0	17.46549466363738
Zeros	0.0	5627.0
sample	SRR10586397	SRR10586397
