Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24	zero-counter
AT1G76780	24	22	16	24	32	9	19	12	0
AT1G76790	6	7	75	12	36	78	446	72	0
AT1G76800	9	12	33	190	299	67	56	258	0
AT1G76810	3926	4626	1196	1490	3265	847	2451	1402	0
AT1G76820	398	485	108	119	176	69	261	98	0
AT1G76850	2249	2257	1312	1482	2823	836	2845	1449	0
AT1G76860	766	770	165	198	452	155	395	232	0
AT1G76870	67	75	24	26	75	5	61	17	0
AT1G76880	741	679	418	719	1289	273	789	412	0
AT1G76890	2450	2534	767	857	1806	343	1597	744	0
AT1G76900	418	419	337	402	728	417	625	659	0
AT1G76920	836	808	229	247	470	291	536	416	0
AT1G76930	3321	6211	36	5	106	45	47	67	0
AT1G76940	250	248	128	126	248	120	302	198	0
AT1G76950	574	528	279	319	631	156	577	257	0
AT1G76952	0	0	1	1	8	4	4	6	2
AT1G76954	0	0	1	1	3	0	2	1	3
AT1G76955	7	8	117	80	155	102	293	141	0
AT1G76960	2	37	1369	451	1572	2780	2815	6253	0
AT1G76965	0	3	0	1	0	4	3	4	3
AT1G76970	303	406	619	144	767	549	1342	1082	0
AT1G76980	63	61	151	57	196	99	250	255	0
AT1G76990	13018	12315	2976	4126	6110	1716	9570	3143	0
AT1G76994	0	0	1	0	0	0	0	0	7
AT1G77000	245	539	92	72	117	101	214	171	0
AT1G77010	12	17	8	8	7	8	16	5	0
AT1G77020	160	147	71	53	115	9	71	15	0
AT1G77030	730	609	195	166	409	163	397	343	0
AT1G77060	527	734	264	310	746	371	688	494	0
AT1G77080	938	948	465	552	1052	311	1151	535	0
AT1G77090	307	249	727	1207	2484	632	1446	964	0
AT1G77110	14	14	18	31	60	5	10	13	0
AT1G77120	38	49	34	43	111	19	56	68	0
AT1G77122	543	574	183	269	564	174	512	256	0
AT1G77130	371	473	412	408	818	372	722	709	0
AT1G77140	297	242	243	213	442	231	528	363	0
AT1G77145	63	69	13	9	21	11	28	12	0
AT1G77160	0	0	0	0	0	1	0	0	7
AT1G77170	95	91	49	40	86	23	89	41	0
AT1G77180	5234	7003	1112	1399	3088	905	2209	1394	0
AT1G77200	0	0	2	4	3	6	4	4	2
AT1G77210	1403	2187	185	119	190	172	389	256	0
AT1G77220	544	467	222	269	485	178	488	227	0
AT1G77230	199	173	56	47	92	29	93	35	0
AT1G77240	512	481	125	136	267	71	331	103	0
AT1G77250	133	149	90	100	190	55	173	71	0
AT1G77260	416	420	474	629	1199	318	971	477	0
AT1G77270	47	28	22	17	30	6	28	12	0
AT1G77280	170	126	81	275	450	131	242	161	0
AT1G77290	153	151	61	94	110	51	184	58	0
AT1G77300	772	574	760	838	1709	528	1444	908	0
