Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24	zero-counter
AT1G01020	175	163	108	117	224	92	267	145	0
AT1G01030	20	25	13	13	35	16	22	9	0
AT1G01040	2541	2492	1027	1324	2376	638	2296	1018	0
AT1G01050	1531	1804	850	1217	2664	406	1851	684	0
AT1G01060	11	4	288	18184	32522	219	835	386	0
AT1G01070	39	106	42	172	311	61	80	216	0
AT1G01080	1280	1131	975	981	2124	429	1927	494	0
AT1G01090	5079	6032	1281	1799	3912	962	2801	1371	0
AT1G01100	1458	1088	483	503	1319	399	1060	581	0
AT1G01110	8	31	10	10	22	14	10	22	0
AT1G01120	480	141	1800	3113	6803	1508	2585	1894	0
AT1G01130	21	36	12	11	22	2	15	5	0
AT1G01140	3531	4742	1731	1783	4134	1379	3948	2240	0
AT1G01150	0	0	0	0	1	0	0	0	7
AT1G01160	949	1088	235	286	525	227	647	324	0
AT1G01170	2073	2346	502	669	1355	370	1135	591	0
AT1G01180	651	700	231	265	480	184	536	386	0
AT1G01190	1	0	4	1	8	1	1	3	1
AT1G01200	1	0	9	9	14	3	0	4	2
AT1G01210	164	136	60	92	167	48	155	72	0
AT1G01220	578	395	596	711	1447	257	1233	408	0
AT1G01225	6	3	17	19	46	11	16	12	0
AT1G01230	517	648	246	243	478	249	523	381	0
AT1G01240	809	818	166	218	325	641	315	950	0
AT1G01250	10	13	67	119	142	58	122	59	0
AT1G01260	338	559	135	141	359	352	360	372	0
AT1G01290	274	203	128	158	270	109	304	169	0
AT1G01300	1229	1123	764	279	548	228	1526	389	0
AT1G01310	27	1	0	0	0	0	0	0	6
AT1G01320	12020	10789	7392	11219	24060	2891	15256	4156	0
AT1G01340	871	549	421	195	495	159	1059	329	0
AT1G01350	531	546	179	213	435	161	400	239	0
AT1G01355	5	27	5	14	22	4	29	15	0
AT1G01360	329	337	301	479	712	139	641	267	0
AT1G01370	1	1	11	6	22	7	17	7	0
AT1G01380	3	0	7	15	10	2	8	1	1
AT1G01390	220	204	130	441	1138	77	256	165	0
AT1G01420	147	183	220	432	650	194	487	300	0
AT1G01430	909	737	542	737	1450	600	1034	852	0
AT1G01440	458	590	320	315	599	313	688	614	0
AT1G01450	611	606	136	128	229	101	304	129	0
AT1G01453	1	3	1	1	0	5	7	6	1
AT1G01470	1160	1488	1148	784	2185	1891	2408	2353	0
AT1G01480	1	2	1	1	2	0	3	5	1
AT1G01490	3633	4395	521	1251	1863	534	1442	827	0
AT1G01500	262	435	107	96	126	138	282	227	0
AT1G01510	531	617	256	372	691	183	579	270	0
AT1G01520	3	0	13	542	747	16	28	29	1
AT1G01530	0	0	4	0	4	0	4	3	4
AT1G01540	2067	1756	1032	1465	2665	566	1994	753	0
AT1G01550	4972	5198	2211	2505	4724	2198	5090	3930	0
AT1G01560	26	72	160	22	131	163	256	315	0
AT1G01570	15	10	14	12	23	12	20	17	0
AT1G01580	20	27	17	116	163	15	28	29	0
AT1G01590	7	3	42	65	128	9	90	22	0
AT1G01600	5	8	5	2	3	3	9	2	0
AT1G01610	788	381	758	750	1936	344	1211	375	0
AT1G01620	3033	4493	899	1788	3948	943	1084	1165	0
AT1G01630	336	278	708	525	1220	668	1325	1003	0
AT1G01640	81	110	33	42	93	8	53	20	0
AT1G01650	1219	1257	622	528	1098	557	1298	790	0
AT1G01660	37	20	26	19	41	18	38	20	0
AT1G01670	85	68	49	40	103	37	138	98	0
AT1G01680	15	10	194	35	185	127	412	239	0
AT1G01690	20	13	18	24	44	19	47	41	0
AT1G01695	5	0	5	2	6	2	10	3	1
AT1G01700	41	64	30	33	65	36	83	41	0
AT1G01710	1069	1140	483	530	988	467	1002	633	0
AT1G01715	47	32	14	18	25	9	22	16	0
AT1G01720	537	572	139	279	545	176	388	162	0
AT1G01725	242	282	77	111	130	67	213	106	0
AT1G01730	761	970	269	275	454	188	657	313	0
AT1G01740	155	145	95	141	264	94	233	116	0
AT1G01750	33	26	14	7	16	6	19	11	0
AT1G01760	83	85	30	42	61	17	67	31	0
AT1G01770	1391	2080	248	289	626	141	582	203	0
AT1G01780	473	654	122	110	209	48	231	70	0
AT1G01790	2755	2546	5609	7855	15873	2594	11293	3708	0
AT1G01800	1457	1323	979	1021	2124	691	2155	1131	0
AT1G01810	7	4	1	6	2	0	2	6	1
AT1G01820	2820	3565	646	722	1295	478	1651	864	0
AT1G01830	426	412	388	576	941	246	846	423	0
AT1G01840	1	2	10	15	31	14	12	12	0
AT1G01860	426	382	135	221	401	95	380	98	0
AT1G01880	11	27	19	12	29	8	32	10	0
AT1G01900	14	7	40	14	41	6	9	13	0
AT1G01910	766	614	323	373	805	332	741	528	0
AT1G01920	534	396	149	83	198	142	282	202	0
AT1G01930	409	414	135	169	307	134	291	190	0
AT1G01940	148	195	83	61	120	41	146	90	0
AT1G01950	407	496	226	377	619	169	526	259	0
AT1G01960	2468	2702	1272	1169	2475	1034	2468	1628	0
AT1G01970	432	307	464	605	1243	182	950	254	0
AT1G01990	698	680	268	329	651	196	608	326	0
AT1G02000	255	231	123	169	356	105	272	147	0
AT1G02010	343	357	159	330	570	112	397	128	0
AT1G02020	578	664	269	365	623	230	638	368	0
AT1G02030	2	0	1	1	2	0	1	1	2
AT1G02040	0	1	0	1	0	0	1	1	4
AT1G02050	509	490	55	67	107	32	126	46	0
AT1G02060	573	586	82	83	172	35	113	82	0
AT1G02065	3	0	0	0	0	0	0	0	7
AT1G02070	5	6	0	2	3	0	1	1	2
AT1G02080	3250	3564	2233	2376	4824	1631	4223	2691	0
AT1G02090	364	331	214	209	510	203	408	295	0
AT1G02100	1369	1552	436	573	1050	288	1002	409	0
AT1G02110	584	698	180	296	548	118	414	128	0
AT1G02120	3177	3507	1321	1444	2786	957	2921	1669	0
AT1G02130	576	542	321	371	685	313	747	466	0
AT1G02140	1076	1071	494	607	1278	449	1145	794	0
AT1G02145	503	615	272	325	594	227	568	342	0
AT1G02150	2935	3324	844	1074	2614	612	1701	844	0
AT1G02160	308	258	121	132	189	75	229	96	0
AT1G02170	805	937	546	364	738	416	1140	780	0
AT1G02180	7	3	50	55	141	11	73	23	0
AT1G02190	0	0	3	0	13	0	0	1	5
AT1G02205	5	1	80	14	108	70	11	46	0
AT1G02220	18	12	15	51	107	34	32	118	0
AT1G02230	1	5	11	1	5	11	8	47	0
AT1G02250	0	0	6	0	0	0	0	0	7
AT1G02260	718	697	346	290	466	164	768	307	0
AT1G02270	312	333	327	283	517	525	895	652	0
AT1G02280	2199	2137	340	497	1284	130	618	208	0
AT1G02290	119	149	108	110	210	92	230	142	0
AT1G02300	965	1026	349	207	303	530	951	730	0
AT1G02305	4431	5630	1458	1454	2830	959	3117	1757	0
AT1G02310	0	1	0	2	2	0	3	1	3
AT1G02330	418	426	182	191	452	218	400	349	0
AT1G02335	23	20	27	36	41	11	10	26	0
AT1G02340	4	246	1	0	12	156	3	206	1
AT1G02350	17	120	7	9	28	100	16	56	0
AT1G02360	79	125	89	48	111	84	121	144	0
AT1G02370	194	139	66	54	86	83	95	133	0
AT1G02380	18	21	7	19	49	20	20	23	0
AT1G02390	12	4	115	258	309	228	288	286	0
AT1G02400	112	169	46	12	50	121	116	70	0
AT1G02405	6	5	4	4	27	11	14	6	0
AT1G02410	202	197	279	329	690	246	549	418	0
AT1G02420	77	74	38	37	81	30	85	51	0
AT1G02430	23	22	18	27	43	7	42	19	0
AT1G02440	1	2	4	0	5	7	3	22	1
AT1G02450	0	2	80	2	14	49	98	154	1
AT1G02460	45	22	5	2	14	15	17	27	0
AT1G02470	220	182	33	65	31	23	49	63	0
AT1G02475	1374	1129	1172	1492	2820	825	2635	1313	0
AT1G02490	0	0	1	0	0	0	0	0	7
AT1G02500	6494	6736	3205	3759	7800	1956	6799	3081	0
AT1G02520	15	17	21	3	9	2	13	16	0
AT1G02530	4	0	0	1	1	0	0	1	4
AT1G02560	4173	4870	3411	4818	8557	4100	7963	7627	0
AT1G02570	0	0	0	0	0	1	0	0	7
AT1G02580	2	1	1	0	0	0	1	0	4
AT1G02610	240	453	32	64	87	117	84	251	0
AT1G02620	73	125	1	0	2	2	1	6	1
AT1G02630	0	0	0	1	1	0	0	2	5
AT1G02640	665	326	26	32	48	19	16	83	0
AT1G02650	75	25	5	2	2	0	2	7	1
AT1G02660	794	1228	74	44	85	207	170	244	0
AT1G02670	26	23	8	2	5	7	16	6	0
AT1G02680	272	374	81	87	143	69	167	106	0
AT1G02690	88	90	21	19	56	16	32	26	0
AT1G02700	37	21	7	8	19	0	6	1	1
AT1G02705	0	0	0	0	1	0	0	0	7
AT1G02720	69	21	51	62	134	30	60	41	0
AT1G02730	7	1	52	63	164	18	48	24	0
AT1G02740	166	223	78	83	173	106	241	193	0
AT1G02750	286	385	132	162	336	101	301	168	0
AT1G02770	0	1	10	23	27	12	63	31	1
AT1G02780	6145	4800	2342	2647	6530	2022	5039	3374	0
AT1G02800	2	0	2	1	0	0	2	0	4
AT1G02810	0	0	0	1	0	0	1	0	6
AT1G02816	298	188	81	161	250	99	168	157	0
AT1G02820	4	5	8	123	239	61	9	88	0
AT1G02840	4537	4800	576	656	1244	442	1280	692	0
AT1G02850	1382	1559	370	378	272	235	1108	426	0
AT1G02860	392	491	128	141	302	93	322	155	0
AT1G02870	505	400	80	85	185	79	172	107	0
AT1G02880	189	198	340	429	716	259	698	384	0
AT1G02890	4281	4035	1494	1565	2985	1049	3423	1698	0
AT1G02900	54	35	6	2	7	1	8	1	0
AT1G02910	1146	980	861	1091	2212	534	1909	764	0
AT1G02920	1955	3192	2292	536	1689	1251	3962	2376	0
AT1G02930	1888	3791	3414	1154	2049	2728	9551	5191	0
AT1G02940	1	2	12	13	29	4	38	5	0
AT1G02950	24	23	22	28	72	14	13	18	0
AT1G02960	731	908	271	301	481	203	591	272	0
AT1G02970	0	0	18	14	28	5	20	6	2
AT1G02990	421	442	401	463	851	363	884	565	0
AT1G03000	738	781	359	422	750	365	832	535	0
AT1G03010	158	120	13	6	7	1	8	22	0
AT1G03020	7	0	3	12	50	6	10	7	1
AT1G03030	300	293	241	214	360	149	480	268	0
AT1G03040	871	926	412	463	828	235	832	417	0
AT1G03050	0	0	0	0	1	0	0	1	6
AT1G03055	5	1	40	179	397	112	102	162	0
AT1G03060	2126	2467	1494	1498	3083	748	2666	1322	0
AT1G03070	1	2	5	8	12	2	6	13	0
AT1G03080	2748	3763	1403	1538	3363	1042	3198	1925	0
AT1G03090	20556	32018	322	325	707	202	614	262	0
AT1G03100	53	81	45	41	72	8	86	25	0
AT1G03110	74	48	27	28	85	27	72	41	0
AT1G03120	0	1	0	0	0	0	1	0	6
AT1G03130	1880	2511	2919	9585	20383	14191	4311	16433	0
AT1G03140	1847	2995	378	478	1020	480	729	782	0
AT1G03150	318	707	91	97	228	133	209	189	0
AT1G03160	1458	1567	1150	1284	2678	766	2340	1022	0
AT1G03165	25	9	6	3	7	5	19	4	0
AT1G03170	7	25	3	4	6	0	8	2	1
AT1G03180	7	4	12	9	28	10	23	18	0
AT1G03190	246	285	115	141	287	121	283	189	0
AT1G03200	232	241	21	23	36	19	58	37	0
AT1G03210	902	1229	196	121	310	183	431	422	0
AT1G03220	239	431	156	121	318	649	235	585	0
AT1G03230	108	101	105	60	214	127	181	179	0
AT1G03240	0	0	0	0	0	0	1	0	7
AT1G03250	376	334	218	277	578	209	442	330	0
AT1G03260	161	156	71	84	186	50	164	87	0
AT1G03270	46	36	35	29	60	28	64	27	0
AT1G03280	771	761	379	404	830	298	907	520	0
AT1G03290	1288	2040	899	656	1109	867	1773	1892	0
AT1G03300	137	87	50	60	118	57	137	68	0
AT1G03310	178	119	1340	1437	2798	1218	3003	1904	0
AT1G03320	3	5	3	3	8	0	2	0	2
AT1G03330	353	342	166	169	455	141	365	225	0
AT1G03340	7	8	60	48	76	50	137	95	0
AT1G03350	864	903	491	486	917	411	1061	584	0
AT1G03360	166	98	29	33	68	38	56	62	0
AT1G03365	626	637	271	318	609	211	529	341	0
AT1G03370	1038	1136	816	577	1170	830	1552	1648	0
AT1G03380	1732	2317	881	1260	2158	692	2074	1060	0
AT1G03390	1	1	0	1	0	0	2	2	3
AT1G03400	1061	1609	630	677	1432	919	1182	1716	0
AT1G03410	331	221	110	98	154	148	328	207	0
AT1G03430	156	202	259	185	334	355	566	575	0
AT1G03440	354	356	150	294	553	107	264	173	0
AT1G03445	0	0	0	0	1	1	1	1	4
AT1G03457	119	43	28	27	39	14	26	36	0
AT1G03470	360	363	31	13	18	6	44	13	0
AT1G03475	2377	2091	1673	1493	3805	1041	2829	1817	0
AT1G03495	141	89	88	141	91	123	542	214	0
AT1G03510	29	27	18	9	23	3	36	6	0
AT1G03520	556	777	130	193	350	109	322	142	0
AT1G03530	459	366	91	85	269	89	198	117	0
AT1G03540	41	37	13	12	47	12	45	13	0
AT1G03550	788	967	223	229	324	143	493	188	0
AT1G03560	335	300	96	137	235	55	222	126	0
AT1G03590	665	835	179	268	409	205	452	274	0
AT1G03600	2549	3430	1523	2818	6713	1762	2303	1950	0
AT1G03610	714	1926	204	362	722	311	351	381	0
AT1G03620	67	67	2	6	19	1	6	11	0
AT1G03630	340	287	2421	2967	6773	2115	5029	2502	0
AT1G03650	131	78	19	15	43	12	55	29	0
AT1G03660	1	0	7	1	3	2	8	10	1
AT1G03670	1	7	0	3	2	0	0	1	3
AT1G03680	4215	4486	4675	5393	11399	3362	10419	4779	0
AT1G03687	154	168	71	114	201	51	170	77	0
AT1G03710	1	2	0	0	3	2	1	4	2
AT1G03730	134	189	79	35	51	59	156	137	0
AT1G03740	2547	4467	740	524	851	1196	1996	2149	0
AT1G03750	227	293	119	144	199	90	240	178	0
AT1G03760	548	666	55	48	85	78	150	189	0
AT1G03770	87	108	27	27	44	23	55	61	0
AT1G03780	2	4	8	6	27	2	11	7	0
AT1G03790	3	5	0	0	0	0	0	0	6
AT1G03800	7	9	1	2	8	1	5	2	0
AT1G03820	10	41	82	17	131	37	59	109	0
AT1G03830	175	107	71	51	105	62	114	51	0
AT1G03840	4	12	6	5	18	1	21	13	0
AT1G03850	65	58	50	15	16	18	30	49	0
AT1G03860	1019	865	397	287	660	422	729	681	0
AT1G03870	1330	403	878	1388	3082	140	1833	273	0
AT1G03900	2759	3043	751	801	1704	477	1747	822	0
AT1G03905	51	43	17	30	61	14	52	7	0
AT1G03910	1658	2108	439	490	1066	370	906	581	0
AT1G03920	1	1	7	4	12	5	5	9	0
AT1G03930	975	738	443	566	1273	381	825	470	0
AT1G03940	66	36	158	274	84	173	1005	323	0
AT1G03950	422	410	172	215	410	130	467	272	0
AT1G03960	249	239	104	103	213	126	247	149	0
AT1G03970	997	1110	244	275	495	306	589	482	0
AT1G03980	0	0	0	0	4	1	2	5	4
AT1G03990	288	275	62	70	144	51	137	52	0
AT1G04000	429	141	93	106	224	79	166	104	0
AT1G04010	302	265	159	145	243	97	329	121	0
AT1G04020	4	1	95	49	137	13	88	17	0
AT1G04030	42	41	16	18	63	16	64	21	0
AT1G04040	1425	724	1663	1492	2405	319	2455	444	0
AT1G04050	31	37	34	47	61	12	69	25	0
AT1G04070	62	49	25	37	52	23	63	42	0
AT1G04080	2353	2381	1034	1263	2389	868	2317	1339	0
AT1G04090	8	2	2	5	8	2	5	1	0
AT1G04100	112	73	23	31	48	27	56	42	0
AT1G04105	3	4	1	2	5	2	5	5	0
AT1G04110	1	1	3	0	3	0	1	0	3
AT1G04120	972	960	720	954	2153	492	1356	988	0
AT1G04130	69	48	97	85	222	86	211	148	0
AT1G04140	3074	3596	1170	1210	2371	880	2627	1456	0
AT1G04160	21	18	107	89	166	124	179	119	0
AT1G04170	1737	1776	633	849	1960	378	1342	695	0
AT1G04180	0	55	1	1	0	144	1	61	2
AT1G04190	363	403	175	229	503	117	388	253	0
AT1G04200	276	261	392	272	711	474	825	710	0
AT1G04210	1105	963	545	660	1393	423	1119	677	0
AT1G04220	1	3	82	150	521	115	129	49	0
AT1G04230	233	230	99	127	270	96	212	134	0
AT1G04240	320	267	200	568	800	342	364	337	0
AT1G04250	17	7	81	331	543	235	171	329	0
AT1G04260	217	220	121	100	248	81	257	230	0
AT1G04270	3227	2400	1029	1099	2974	823	1949	1350	0
AT1G04280	510	576	226	236	489	137	409	243	0
AT1G04290	149	125	178	213	438	130	411	153	0
AT1G04300	6583	9402	956	1263	2452	835	2247	1294	0
AT1G04310	658	1299	36	33	50	16	52	22	0
AT1G04330	1	1	1	1	5	1	6	2	0
AT1G04340	179	166	128	159	244	97	283	148	0
AT1G04350	541	451	1641	2862	4841	1294	3871	2041	0
AT1G04360	71	28	5	6	5	9	20	1	0
AT1G04370	0	0	0	1	0	0	0	1	6
AT1G04380	0	0	4	4	3	0	8	2	3
AT1G04390	349	422	197	237	366	165	353	322	0
AT1G04400	4626	5435	1916	1288	2806	1406	3978	2100	0
AT1G04410	11085	13791	4490	4864	13087	3264	7747	6702	0
AT1G04420	1407	1326	1204	1779	3930	769	2608	880	0
AT1G04430	4108	2987	1415	1186	2605	1091	2197	1464	0
AT1G04440	2070	2325	559	541	1230	863	1124	1398	0
AT1G04445	0	1	1	0	0	0	1	1	4
AT1G04480	1047	914	388	455	1159	292	856	484	0
AT1G04490	1	1	6	1	6	10	11	20	0
AT1G04500	27	27	2	4	7	8	11	9	0
AT1G04510	1466	1628	416	502	1156	308	841	468	0
AT1G04520	9	2	81	213	517	11	85	6	0
AT1G04530	528	479	834	1802	3843	952	1533	1635	0
AT1G04540	2	6	84	122	357	72	116	95	0
AT1G04550	216	217	281	541	1213	126	504	263	0
AT1G04555	99	85	72	79	123	55	134	116	0
AT1G04570	12	5	24	65	82	30	52	11	0
AT1G04580	0	0	0	0	0	0	2	0	7
AT1G04590	371	287	154	221	452	121	352	155	0
AT1G04600	10	4	94	46	327	74	87	141	0
AT1G04620	2074	2412	935	688	1619	92	2223	155	0
AT1G04625	8	6	25	30	38	10	39	15	0
AT1G04630	327	291	154	175	387	96	289	168	0
AT1G04635	14	12	4	10	12	9	17	10	0
AT1G04640	594	530	530	654	1504	233	1181	344	0
AT1G04645	0	0	2	0	0	0	1	2	5
AT1G04650	1	1	26	23	36	34	26	58	0
AT1G04680	50	44	622	397	1163	557	636	684	0
AT1G04690	876	860	762	649	1278	1044	1576	1839	0
AT1G04700	8	7	17	8	28	10	24	9	0
AT1G04710	200	152	330	354	780	174	799	301	0
AT1G04730	8	4	48	32	98	15	61	21	0
AT1G04750	1051	1045	614	489	959	512	1208	806	0
AT1G04760	1	0	5	2	9	4	6	0	2
AT1G04770	164	63	98	134	219	165	237	272	0
AT1G04778	0	2	0	0	1	0	0	1	5
AT1G04780	1385	1717	411	451	788	568	1019	864	0
AT1G04790	716	686	270	373	642	195	568	326	0
AT1G04800	302	50	331	51	109	29	60	3	0
AT1G04810	1918	2516	652	733	1548	470	1153	712	0
AT1G04820	1179	602	1552	1007	2602	944	2613	1230	0
AT1G04830	738	949	227	241	462	190	448	266	0
AT1G04840	30	22	16	16	24	10	25	13	0
AT1G04850	2165	2333	802	822	1782	676	1652	1175	0
AT1G04860	979	1124	387	515	1038	259	896	434	0
AT1G04870	580	647	201	159	385	98	306	265	0
AT1G04880	0	1	0	2	6	0	3	0	4
AT1G04900	129	104	53	48	78	49	87	89	0
AT1G04910	704	745	350	364	652	329	835	478	0
AT1G04920	18	7	25	7	14	2	11	2	0
AT1G04930	146	112	32	31	73	39	104	51	0
AT1G04940	0	1	5	11	19	3	20	9	1
AT1G04945	181	104	62	39	112	57	103	108	0
AT1G04950	803	967	290	343	614	227	711	339	0
AT1G04960	546	561	257	364	620	345	681	491	0
AT1G04970	1009	1072	423	480	801	397	847	696	0
AT1G04980	77	52	311	28	232	295	403	732	0
AT1G04985	1078	1161	327	428	823	336	884	493	0
AT1G04990	357	395	420	145	425	137	822	208	0
AT1G05000	29	86	37	22	83	9	82	17	0
AT1G05010	22828	41762	5799	2253	4703	3472	17209	7599	0
AT1G05020	143	326	4	1	3	13	23	15	0
AT1G05030	553	567	346	298	520	228	663	327	0
AT1G05035	17	17	11	6	6	6	12	6	0
AT1G05040	0	0	0	0	1	0	0	0	7
AT1G05055	142	121	99	87	210	44	199	104	0
AT1G05060	447	501	243	285	444	169	595	408	0
AT1G05065	5	5	10	5	9	7	15	7	0
AT1G05070	542	542	180	233	496	211	369	308	0
AT1G05080	0	1	0	0	0	0	1	0	6
AT1G05087	55	58	8	14	31	20	32	23	0
AT1G05090	27	30	10	8	7	3	20	15	0
AT1G05100	8	3	3	11	31	2	8	1	0
AT1G05120	592	710	298	300	522	201	577	353	0
AT1G05136	0	2	0	1	0	0	2	0	5
AT1G05140	818	606	1204	1671	3352	621	2525	899	0
AT1G05150	621	487	336	423	884	239	628	365	0
AT1G05160	747	761	160	211	429	74	358	115	0
AT1G05170	119	92	275	545	1130	151	433	313	0
AT1G05180	636	606	354	334	732	286	696	549	0
AT1G05190	6154	5492	3576	4929	10958	1776	7892	2100	0
AT1G05200	1456	1493	1204	1630	2889	750	2993	1048	0
AT1G05205	109	67	68	73	130	60	143	80	0
AT1G05210	2	1	10	4	11	16	15	26	0
AT1G05220	1	1	1	0	2	3	3	8	1
AT1G05230	342	328	313	302	590	186	674	303	0
AT1G05260	1	0	0	1	1	0	0	0	5
AT1G05270	1310	1745	322	324	684	175	630	315	0
AT1G05300	71	219	94	79	147	78	207	241	0
AT1G05310	18	88	13	15	21	15	23	15	0
AT1G05320	182	195	349	297	714	178	578	346	0
AT1G05330	0	0	0	0	6	0	0	2	6
AT1G05340	112	276	31	11	23	30	53	23	0
AT1G05350	391	297	315	205	461	235	598	333	0
AT1G05360	162	157	96	134	266	85	190	90	0
AT1G05370	24	24	6	12	21	4	22	3	0
AT1G05380	1448	1702	500	484	975	414	1087	593	0
AT1G05385	560	483	274	398	838	156	589	201	0
AT1G05400	22	15	1	6	4	2	8	4	0
AT1G05410	496	653	95	151	296	115	317	148	0
AT1G05420	1	0	3	0	3	7	10	12	2
AT1G05430	406	344	215	317	557	275	490	368	0
AT1G05440	0	1	3	0	3	0	1	1	3
AT1G05450	6	6	4	0	0	1	0	0	4
AT1G05460	87	62	139	140	295	101	226	168	0
AT1G05470	94	75	49	80	126	11	66	33	0
AT1G05490	0	0	2	5	4	0	2	3	3
AT1G05500	587	571	400	384	866	321	731	539	0
AT1G05520	862	899	541	523	923	308	1027	589	0
AT1G05530	2	1	0	0	0	0	0	0	6
AT1G05540	23	20	118	175	395	29	222	25	0
AT1G05550	3	2	1	14	14	0	5	4	1
AT1G05560	1575	1469	729	841	1467	236	1622	243	0
AT1G05570	1572	1830	1859	1345	2581	1105	3299	2878	0
AT1G05575	34	32	40	20	24	31	93	50	0
AT1G05577	2	0	0	1	0	0	0	0	6
AT1G05590	194	115	204	207	368	141	366	242	0
AT1G05600	217	298	63	105	180	74	192	89	0
AT1G05610	3	3	0	1	5	1	2	4	1
AT1G05620	48	42	52	37	94	66	89	106	0
AT1G05630	158	103	405	286	524	363	638	716	0
AT1G05640	27	26	82	20	55	19	114	62	0
AT1G05670	151	111	77	83	167	45	185	71	0
AT1G05675	13	72	46	39	70	40	84	37	0
AT1G05680	1	5	0	0	1	0	0	0	5
AT1G05690	88	83	121	275	524	40	239	84	0
AT1G05700	2	8	0	0	3	0	0	0	5
AT1G05710	68	72	66	37	126	11	140	31	0
AT1G05720	445	351	207	142	329	151	422	304	0
AT1G05730	5	6	7	3	5	8	15	11	0
AT1G05750	161	168	51	52	97	41	84	78	0
AT1G05760	40	49	17	14	35	6	19	11	0
AT1G05770	3	4	3	5	5	0	3	2	1
AT1G05780	70	70	13	19	37	16	53	31	0
AT1G05783	17	14	8	11	8	10	8	17	0
AT1G05785	92	87	57	62	123	53	130	89	0
AT1G05790	1473	1731	404	425	839	243	954	453	0
AT1G05800	0	0	0	0	0	1	0	1	6
AT1G05805	2485	2338	509	363	692	427	1145	710	0
AT1G05810	635	458	137	183	296	52	331	71	0
AT1G05820	85	69	20	29	58	12	45	29	0
AT1G05830	1145	1382	345	507	803	278	776	446	0
AT1G05835	9	5	11	2	6	1	4	2	0
AT1G05840	2287	3251	427	420	857	431	817	714	0
AT1G05850	5147	3336	4797	4736	10675	4582	7837	6606	0
AT1G05860	226	217	86	106	186	62	180	84	0
AT1G05870	53	61	159	522	834	153	217	170	0
AT1G05880	1	0	10	1	15	4	18	8	1
AT1G05890	4171	5146	710	1007	1728	457	1670	778	0
AT1G05894	18	16	9	10	12	9	10	3	0
AT1G05900	280	257	260	631	1195	247	631	365	0
AT1G05910	359	255	377	425	854	291	818	500	0
AT1G05940	777	814	569	649	1251	457	1339	833	0
AT1G05950	47	82	49	45	87	26	151	57	0
AT1G05960	1799	1828	1102	1049	1979	525	2194	857	0
AT1G05970	183	234	35	50	91	38	108	49	0
AT1G05990	0	0	0	0	0	0	0	1	7
AT1G06000	116	165	657	433	1185	347	1086	344	0
AT1G06010	93	74	45	51	87	27	91	44	0
AT1G06020	1	7	10	7	14	7	16	8	0
AT1G06030	1	1	0	0	0	1	0	0	5
AT1G06040	912	829	766	3857	7402	2349	1657	3265	0
AT1G06045	38	40	30	170	265	115	91	220	0
AT1G06050	115	129	68	114	134	89	138	141	0
AT1G06060	401	364	171	225	418	173	380	245	0
AT1G06070	274	289	156	205	329	151	310	177	0
AT1G06090	0	0	3	2	3	0	0	2	4
AT1G06110	1412	1559	406	545	945	342	727	451	0
AT1G06130	686	778	461	422	920	364	889	650	0
AT1G06135	0	0	0	0	0	0	1	0	7
AT1G06140	19	15	12	11	34	11	35	15	0
AT1G06143	51	37	33	44	68	31	75	42	0
AT1G06148	5	2	1	2	1	0	0	0	3
AT1G06150	895	1044	353	423	827	153	717	241	0
AT1G06160	271	344	52	24	83	23	290	68	0
AT1G06170	1	2	0	3	2	2	2	0	2
AT1G06180	101	162	6	4	4	6	18	19	0
AT1G06190	1269	1161	583	693	1520	503	1240	657	0
AT1G06200	1212	1589	357	339	629	353	670	552	0
AT1G06210	357	296	231	266	546	269	520	383	0
AT1G06220	1313	1355	631	671	1620	404	1186	699	0
AT1G06230	1866	1778	629	777	1502	441	1223	732	0
AT1G06240	182	135	245	362	755	153	493	182	0
AT1G06250	65	72	42	55	86	15	104	20	0
AT1G06260	474	490	63	69	123	38	168	38	0
AT1G06270	22	22	29	42	81	25	64	19	0
AT1G06290	1188	897	692	597	1303	686	1275	1166	0
AT1G06360	0	0	48	7	36	7	5	0	3
AT1G06380	145	93	45	62	104	46	119	71	0
AT1G06390	1935	2156	589	815	1760	298	1103	454	0
AT1G06400	2221	2313	402	587	1052	447	934	692	0
AT1G06410	2726	2005	1143	1584	3137	1200	2437	1960	0
AT1G06420	0	0	2	1	1	0	0	0	5
AT1G06430	3161	3328	1883	3931	7426	3291	3961	5490	0
AT1G06440	37	15	6	5	25	6	25	9	0
AT1G06450	44	41	11	20	30	13	40	19	0
AT1G06460	1956	2822	1892	1734	3471	1853	4244	2630	0
AT1G06470	236	190	268	199	394	163	513	251	0
AT1G06475	13	3	4	2	10	2	6	1	0
AT1G06490	20	19	24	29	62	16	11	18	0
AT1G06500	217	266	88	125	206	79	220	112	0
AT1G06510	470	477	242	264	594	194	527	328	0
AT1G06515	157	195	54	49	97	33	105	69	0
AT1G06520	56	69	32	39	63	9	38	22	0
AT1G06530	1509	1686	406	450	1014	277	945	443	0
AT1G06540	0	0	5	0	7	1	8	1	3
AT1G06550	325	218	356	319	627	150	742	315	0
AT1G06560	378	346	72	72	185	92	151	172	0
AT1G06570	11468	19457	278	1435	2072	713	742	1018	0
AT1G06580	81	85	22	34	51	24	63	39	0
AT1G06590	152	193	80	67	158	65	154	87	0
AT1G06620	45	56	52	14	100	148	337	228	0
AT1G06630	807	927	193	163	348	160	406	231	0
