Genes	Bc24	Ch40.3	Ch40	Ss30	Ss30.1	Bc12	Bc18	Ss30.2	Bc18.1	Bc12.1	Ch22	Ch22.1	Ch40.1	Ch22.2	Bc24.1	Ch22.3	Ch40.2	zero-counter
AT1G01040	10.167418145831736	9.262094845370179	9.339850002884623	6.2288186904958796	5.857980995127572	10.047123912114026	10.251482410620213	6.7414669864011465	9.812177305514448	10.382624026574916	9.7431513941125	9.842350343413807	9.262094845370179	10.055282435501187	10.200898605038443	10.080817527608328	9.303780748177102	0
AT1G01080	9.523561956057012	7.011227255423254	7.266786540694902	5.7004397181410935	6.087462841250338	10.421012855779226	9.485829308701904	6.149747119504683	9.233619676759703	10.63026712502677	8.118941072723509	8.08214904135387	7.339850002884624	8.108524456778168	9.310612781659527	8.103287808412023	7.294620748891628	0
AT1G01090	11.240791332161958	9.197216693110052	9.074141462752506	8.581200581924957	8.668884984266247	10.417852514885896	10.787086324551618	9.501837184902298	10.422064766172811	10.658211482751797	9.726218159332197	9.640244936222343	9.264442600226602	9.643856189774723	11.102631888854965	9.746514321138463	9.330916878114618	0
AT1G01100	10.497851836951117	9.243173983472953	9.710806433699352	6.7414669864011465	6.569855608330947	9.59618975614441	10.265615046484458	7.554588851677637	9.324180546618742	9.802516365121225	9.754887502163466	9.771489469500601	9.61286849729104	10.066089190457774	10.323054760341646	9.987264012072536	9.243173983472953	0
AT1G01120	9.481799431665753	7.918863237274595	8.675957032941751	11.51224664282918	12.283088353024	11.527477006060396	8.971543553950774	12.009478745888064	10.094077685671904	11.90388184573618	8.994353436858859	9.047123912114026	8.507794640198696	10.29232163280204	9.370687406807216	10.277287400130355	8.011227255423254	0
AT1G01140	11.418906731257902	10.277287400130355	10.348728154231075	9.214319120800766	9.136991112080231	10.660887270302569	11.643856189774725	9.513727595952435	10.801708358916464	11.00982861736811	10.50084187955693	10.54882190845875	10.328674927327947	10.82097669262124	11.549303368513575	10.767356854125683	10.287712379549447	0
AT1G01160	8.968666793195208	7.988684686772165	7.924812503605782	5.7279204545632	5.614709844115208	8.546894459887637	8.503825737995749	6.523561956057013	7.977279923499918	8.62935662007961	8.499845887083206	8.48784003382305	8.08214904135387	8.51175265376738	8.974414589805528	8.527477006060396	8.0	0
AT1G01180	9.533329732305834	8.558420713268664	8.562242424221072	7.930737337562888	7.948367231584678	8.409390936137703	8.997179480937621	8.022367813028454	8.379378367071261	8.321928094887364	8.280770770130601	8.467605550082997	8.59618975614441	8.335390354693924	9.403012023574997	8.330916878114618	8.388017285345137	0
AT1G01220	9.333155350310617	7.94251450533924	8.144658242831882	5.8826430493618425	5.754887502163467	9.266786540694902	8.980139577639157	6.475733430966398	8.618385502258606	9.614709844115207	8.651051691178928	8.523561956057014	8.0	8.741466986401146	9.131856960608793	8.832890014164743	7.734709620225838	0
AT1G01230	8.823367240046235	8.087462841250339	8.243173983472952	7.977279923499918	8.129283016944967	8.189824558880018	8.405141463136344	8.214319120800766	7.584962500721157	8.375039431346924	8.703903573444663	8.693486957499324	8.430452551665532	8.707359132080883	8.727920454563199	8.543031820255237	8.066089190457772	0
AT1G01260	8.442943495848729	8.948367231584678	8.531381460516313	9.167418145831736	9.41574176829009	7.400879436282184	7.636624620543648	9.556506054671928	7.321928094887363	7.467605550082997	8.447083226209653	8.59618975614441	8.721099188707186	8.813781191217037	8.430452551665532	8.717676423066393	8.92184093707449	0
AT1G01320	13.052737849549821	11.698704666770347	11.341518823245243	8.290018846932618	6.475733430966398	12.9901039638575	12.986019773064074	8.654636028527968	12.768804616455801	13.366732012584288	11.627533884472792	11.589182967039351	11.357552004618087	11.346513733165633	13.141787841671007	11.352595231134305	11.696098170955866	0
AT1G01340	10.588714635582264	9.372865060112588	9.098032082960527	9.194756854422248	9.240791332161956	7.467605550082997	9.121533517340033	9.620219825507489	8.475733430966399	7.672425341971495	8.164906926675688	8.194756854422247	9.184875342908283	7.820178962415187	10.513727595952435	7.768184324776926	9.372865060112588	0
