powerEstimate,fitIndices.Power,fitIndices.SFT.R.sq,fitIndices.slope,fitIndices.truncated.R.sq,fitIndices.mean.k.,fitIndices.median.k.,fitIndices.max.k.
1,2,1,0.632735224727835,7.18856325937882,0.962837353455929,10718.1290709306,10770.9397554134,12695.2428062078
2,2,2,0.878193040343379,4.9410184132828,0.922598301626721,7098.93668279177,7285.99188864545,8687.88196033089
3,2,3,0.931620744027394,3.27552453083374,0.933692348699453,5196.96631850993,5434.64276947262,6619.29772207448
4,2,4,0.925918405801458,2.23487885659483,0.934593429615626,4036.04773671125,4229.22573308097,5487.47360541439
5,2,5,0.885628072255852,1.54910275631013,0.916014656245818,3258.95796465979,3381.7830058106,4769.19728901068
6,2,6,0.77256628128178,1.0469761129709,0.853645976020248,2705.42228615497,2769.81755839976,4269.97652051967
7,2,7,0.586480430095976,0.700418328328338,0.763979925508484,2293.10506388964,2318.78081576374,3874.94877352546
8,2,8,0.327414591188263,0.427758835155981,0.657185659336339,1975.44954380671,1971.33621976754,3563.62798386566
9,2,9,0.119983847193364,0.222158458634858,0.616019670081937,1724.18385236039,1697.24376057933,3302.25440456242
10,2,10,0.0100797095841902,0.0599417580958138,0.617453668554189,1521.1687339081,1476.05124547869,3077.59055796051
11,2,10,0.0100797095841902,0.0599417580958138,0.617453668554189,1521.1687339081,1476.05124547869,3077.59055796051
12,2,11,0.0175934814368513,-0.0789467019257679,0.669825828748641,1354.24612176202,1297.70934081614,2884.81563313303
13,2,12,0.0980311164527364,-0.192900933675558,0.732072443764021,1214.97192074378,1147.445724561,2716.17870264594
14,2,13,0.203152248468674,-0.29223586136854,0.792882685686334,1097.30582662143,1019.79918651093,2566.08515145004
15,2,14,0.302357700197503,-0.37477733660128,0.841019584662316,996.818090014624,911.502600116049,2431.40256706797
16,2,15,0.393994069451904,-0.451467741139135,0.875285975516303,910.190126797094,818.652884255206,2309.70544227192
17,2,16,0.469978821145508,-0.51913935632073,0.899533521679325,834.889499212057,740.183369429236,2201.44981673772
18,2,17,0.526678956318508,-0.58516221667895,0.9123885493401,768.952241538553,670.614377286512,2105.10999394809
19,2,18,0.573073185364558,-0.642915281845833,0.923956755385289,710.8333997841,609.22295415381,2016.96215825715
20,2,19,0.613887043209914,-0.695330600432339,0.936355247562275,659.302137408196,557.146276489629,1935.72740387468
21,2,20,0.644593591187866,-0.738060944738004,0.946358475784557,613.366676749982,511.171764601033,1860.57725939032
22,2,21,0.672558808768992,-0.780313326194034,0.954197792343923,572.21965222398,470.379718646756,1790.81608586094
23,2,22,0.695503235309908,-0.814577598796616,0.960220355900073,535.197701182047,434.19093314512,1725.85474207757
24,2,23,0.713210619064432,-0.852937110090257,0.96140324828934,501.75116045178,400.862305272531,1665.19040298407
25,2,24,0.731521941252281,-0.888255387276101,0.962492409238301,471.421049693117,371.238272556391,1608.39088940888
26,2,25,0.745837119103819,-0.917854242778582,0.965004253968698,443.821384840323,344.993038297274,1555.33647624353
27,2,26,0.761051464537628,-0.947562434544374,0.967674421035349,418.625441699839,321.165607737046,1505.61998118474
28,2,27,0.768881537470864,-0.974909632207434,0.967365191573654,395.554982377839,299.437915220381,1458.7659620415
29,2,28,0.782133199373876,-1.00045125885311,0.971734564393934,374.371728678204,279.698262254396,1414.52526320205
30,2,29,0.792082556769957,-1.02389711643245,0.973064683813267,354.870557053403,261.350465316009,1372.6778509696
31,2,30,0.800549984665985,-1.04513138245206,0.97373122832241,336.874025085174,244.715211017222,1333.02857292187
