fitIndices.Power,fitIndices.SFT.R.sq,fitIndices.slope,fitIndices.truncated.R.sq,fitIndices.mean.k.,fitIndices.median.k.,fitIndices.max.k.
1,0.689545724592872,6.92408483261063,0.988208866352423,10925.5594534197,11020.8717744959,12926.9796175097
2,0.758530625207528,3.76521115717537,0.970022372856915,7076.88239107175,7180.90182519902,9079.21486644617
3,0.724109481769279,2.27817166086728,0.89231291795233,5041.52717177284,5167.73079292792,6920.25930381038
4,0.631416900141076,1.49340915087801,0.802682159181642,3808.98295004742,3944.10487106475,5589.90234744077
5,0.538674911239365,1.05977730511741,0.74662519903055,2996.03791021645,3112.1813608402,4686.05611356068
6,0.373974553013319,0.709725734626503,0.660306067803456,2427.13051298615,2518.03351358324,4051.14086175885
7,0.236056483240448,0.475874552960798,0.610855378813312,2011.21832635515,2073.73378793524,3557.09303463612
8,0.120468778828259,0.292319053372463,0.573207719916724,1696.73942350962,1732.37525410883,3161.53620566413
9,0.045709969000311,0.160777366839533,0.580739523907175,1452.49233971865,1467.49676619044,2837.67217120968
10,0.003306346026837,0.040236801697029,0.600270629354096,1258.59299715906,1255.67687986194,2572.65148645247
10,0.003306346026837,0.040236801697029,0.600270629354096,1258.59299715906,1255.67687986194,2572.65148645247
11,0.009631533006652,-0.065875629426947,0.631366896301005,1101.83023991958,1081.83028053866,2351.21586095176
12,0.057955732409722,-0.153932457052911,0.685042375265084,973.119748005048,940.528402413541,2161.05138989157
13,0.134331244871663,-0.226432287546741,0.753203171952159,866.032265346208,824.376395983684,1998.82771944393
14,0.23824217707569,-0.302281375064796,0.824880290100138,775.904512650397,727.266298019749,1864.07808203697
15,0.337461802943704,-0.367061337475986,0.874901783180968,699.281712664293,645.841148072529,1745.25667632083
16,0.432637792554387,-0.427777940279713,0.908237743135945,633.556699198385,577.043977862881,1639.38000397999
17,0.513367822751967,-0.478159095338562,0.934993341162159,576.729724266776,516.979965350156,1544.43863425625
18,0.580519689969686,-0.541432933375261,0.949137277056967,527.244667382571,465.178860308299,1468.07731817927
19,0.624649696190159,-0.614706941544227,0.952444920033328,483.874921364998,419.819745434371,1407.17198270014
20,0.663824588528767,-0.681609373880242,0.953802762809049,445.64235374526,380.853075827504,1351.27782512739
21,0.688522871597519,-0.739105725431636,0.951474569250828,411.7587621066,347.009973660653,1299.76543950706
22,0.711735275195748,-0.792533205328614,0.952294826192063,381.582920889117,316.979256172455,1252.11008620715
23,0.730023459431004,-0.839929850964243,0.955302411381966,354.588622634712,290.055099374342,1207.87036886818
24,0.751056877016087,-0.886412375932654,0.960509159880473,330.34059398485,265.62154458148,1166.67198549169
25,0.771959081480333,-0.924520886032687,0.965736513314269,308.476132824627,244.161477294287,1128.19518737817
26,0.786906779000022,-0.964808904856952,0.967741969011136,288.690956494334,224.624538702446,1092.42760291742
27,0.799718185552651,-1.00272711164643,0.967773184619119,270.72818695821,207.470185316672,1060.0263787798
28,0.810552461184191,-1.04059476770149,0.968929916156062,254.369698789434,191.596262199517,1029.52679973584
29,0.822463453114264,-1.07551406441683,0.970892503178038,239.429265195256,177.446840664968,1000.75623363093
30,0.836064155097226,-1.10818342850917,0.974278371292187,225.747085376483,164.618140704537,973.563064638187
