mergedColors,Freq
grey,7466
coral3,2024
darkolivegreen4,1792
firebrick3,1215
darkolivegreen2,1175
honeydew1,1047
deepskyblue,834
antiquewhite3,764
lightblue,635
antiquewhite,577
navajowhite3,492
mediumpurple1,273
thistle1,273
firebrick2,210
magenta2,204
lightblue1,195
coral1,141
mediumpurple3,109
orange1,95
navajowhite1,87
blue3,79
brown3,39
mistyrose3,33
tan1,33
