Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24	zero-counter
AT1G01280	0	0	0	0	0	0	0	0	8
AT1G01305	0	0	0	0	0	0	0	0	8
AT1G01335	0	0	0	0	0	0	0	0	8
AT1G01400	0	0	0	0	0	0	0	0	8
AT1G01410	0	0	0	0	0	0	0	0	8
AT1G01460	0	0	0	0	0	0	0	0	8
AT1G01980	0	0	0	0	0	0	0	0	8
AT1G02067	0	0	0	0	0	0	0	0	8
AT1G02210	0	0	0	0	0	0	0	0	8
AT1G02320	0	0	0	0	0	0	0	0	8
AT1G02510	0	0	0	0	0	0	0	0	8
AT1G02540	0	0	0	0	0	0	0	0	8
AT1G02550	0	0	0	0	0	0	0	0	8
AT1G02575	0	0	0	0	0	0	0	0	8
AT1G02590	0	0	0	0	0	0	0	0	8
AT1G02710	0	0	0	0	0	0	0	0	8
AT1G02790	0	0	0	0	0	0	0	0	8
AT1G02813	0	0	0	0	0	0	0	0	8
AT1G02830	0	0	0	0	0	0	0	0	8
AT1G02965	0	0	0	0	0	0	0	0	8
AT1G02980	0	0	0	0	0	0	0	0	8
AT1G03103	0	0	0	0	0	0	0	0	8
AT1G03106	0	0	0	0	0	0	0	0	8
AT1G03325	0	0	0	0	0	0	0	0	8
AT1G03395	0	0	0	0	0	0	0	0	8
AT1G03490	0	0	0	0	0	0	0	0	8
AT1G03700	0	0	0	0	0	0	0	0	8
AT1G03720	0	0	0	0	0	0	0	0	8
AT1G03810	0	0	0	0	0	0	0	0	8
AT1G03880	0	0	0	0	0	0	0	0	8
AT1G03890	0	0	0	0	0	0	0	0	8
AT1G03982	0	0	0	0	0	0	0	0	8
AT1G04150	0	0	0	0	0	0	0	0	8
AT1G04450	0	0	0	0	0	0	0	0	8
AT1G04455	0	0	0	0	0	0	0	0	8
AT1G04470	0	0	0	0	0	0	0	0	8
AT1G04560	0	0	0	0	0	0	0	0	8
AT1G04610	0	0	0	0	0	0	0	0	8
AT1G04660	0	0	0	0	0	0	0	0	8
AT1G04670	0	0	0	0	0	0	0	0	8
AT1G04890	0	0	0	0	0	0	0	0	8
AT1G04895	0	0	0	0	0	0	0	0	8
AT1G05005	0	0	0	0	0	0	0	0	8
AT1G05085	0	0	0	0	0	0	0	0	8
AT1G05240	0	0	0	0	0	0	0	0	8
AT1G05250	0	0	0	0	0	0	0	0	8
AT1G05280	0	0	0	0	0	0	0	0	8
AT1G05290	0	0	0	0	0	0	0	0	8
AT1G05291	0	0	0	0	0	0	0	0	8
AT1G05510	0	0	0	0	0	0	0	0	8
AT1G05580	0	0	0	0	0	0	0	0	8
AT1G05615	0	0	0	0	0	0	0	0	8
AT1G05650	0	0	0	0	0	0	0	0	8
AT1G05660	0	0	0	0	0	0	0	0	8
AT1G05740	0	0	0	0	0	0	0	0	8
AT1G05920	0	0	0	0	0	0	0	0	8
AT1G05930	0	0	0	0	0	0	0	0	8
AT1G06080	0	0	0	0	0	0	0	0	8
AT1G06100	0	0	0	0	0	0	0	0	8
AT1G06120	0	0	0	0	0	0	0	0	8
AT1G06137	0	0	0	0	0	0	0	0	8
AT1G06225	0	0	0	0	0	0	0	0	8
AT1G06280	0	0	0	0	0	0	0	0	8
AT1G06310	0	0	0	0	0	0	0	0	8
AT1G06320	0	0	0	0	0	0	0	0	8
AT1G06330	0	0	0	0	0	0	0	0	8
AT1G06340	0	0	0	0	0	0	0	0	8
AT1G06350	0	0	0	0	0	0	0	0	8
AT1G06923	0	0	0	0	0	0	0	0	8
AT1G06990	0	0	0	0	0	0	0	0	8
AT1G07175	0	0	0	0	0	0	0	0	8
AT1G07190	0	0	0	0	0	0	0	0	8
