Category,Term
Annotation Cluster 1,Enrichment Score: 1.3511256564676852
Annotation Cluster 2,Enrichment Score: 1.3489668435343156
Annotation Cluster 3,Enrichment Score: 1.1824039840205292
Annotation Cluster 4,Enrichment Score: 0.8795378259776299
Annotation Cluster 5,Enrichment Score: 0.7764482129298738
Annotation Cluster 6,Enrichment Score: 0.5971627919281557
Annotation Cluster 7,Enrichment Score: 0.49484110262213965
Annotation Cluster 8,Enrichment Score: 0.4283515697797112
Annotation Cluster 9,Enrichment Score: 0.31824321995051935
